"información sobre las empresas que están presentes en México y el tipo de presencia que tienen, así como si es un mercado que consideran relevante para su empresa o de potencial de futuro en los próximos 3-5 años.",,,,,,,,,,,,,,,
Empresa,Pais,Potencial,Relevante,"Agente / Distribuidor Local","Entidad Financiera","Establecimiento Hotelero","Filial Comercial","Filial Industrial",Franquicia,"Joint Venture","Oficina de Representación",Online,"Tienda Propia","Venta Directa",Otros
AGR!,México,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
APD,México,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Acciona,México,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Aceitunas Torrent",México,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Acerinox,México,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO
Acesur,México,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Actiu Berbegal y Formas S.A.",México,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Adolfo Domínguez",México,SI,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO
Aenor,México,NO,SI,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO
Agbar,México,NO,SI,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO
Ambientair,México,NO,SI,NO,NO,NO,SI,NO,NO,NO,NO,SI,NO,SI,NO
"Andreu World",México,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Applus+,México,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO
BBVA,México,NO,SI,NO,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO
Barceló,México,SI,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Bimba y Lola",México,NO,SI,NO,NO,NO,SI,NO,SI,NO,NO,SI,NO,NO,NO
"Bodegas Aragonesas S.A.",México,SI,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Bodegas Familiares Matarromera",México,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Bodegas José Pariente SL",México,SI,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Bodegas Terras Gauda",México,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Borges,México,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
CAF,México,NO,SI,NO,NO,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO
Camper,México,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Camper,México,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO
"Campofrío Food Group",México,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Carrera y Carrera",México,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Catenon,México,NO,NO,NO,NO,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO
Cesce,México,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO
"Club Atlético de Madrid",México,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO
"Conservas Antonio Alonso",México,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Cosentino,México,NO,NO,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO
"Crédito y Caución",México,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO
"Crédito y Caución",México,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO
"EMAC® Grupo",México,SI,SI,SI,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,NO
ESADE,México,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
ESIC,México,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Ega Master",México,SI,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO
"El Corte Inglés",México,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO
"El Ganso",México,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO
Elzaburu,México,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Escuela de Organización Industrial",México,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Estiluz,México,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Europair Broker S.A.",México,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"F.C. Barcelona",México,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
FCC,México,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Fermax,México,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Festina Lotus",México,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO
Ficosa,México,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO
"Fira de Barcelona",México,NO,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO
Freixenet,México,NO,NO,SI,NO,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO
"Félix Solis Avantis",México,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO
Garrigues,México,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO
Gestamp,México,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO
Gioseppo,México,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"González Byass",México,NO,SI,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO
Grifols,México,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO
"Grupo ACS",México,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Grupo Antolin",México,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Grupo Blinker",México,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Grupo Eulen",México,NO,SI,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO
"Grupo Ybarra",México,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
H&A,México,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO
"Hijos de Rivera",México,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Hola,México,NO,SI,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO
"IE Business School",México,SI,NO,NO,NO,NO,SI,NO,NO,SI,NO,NO,NO,NO,NO
IFEMA,México,SI,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO
"IMC Toys",México,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"IQS (Institut Químic de Sarrià)",México,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"Convenio de colaboración"
IVI,México,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO
Iberdrola,México,SI,SI,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO
Iberia,México,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO
Inditex,México,NO,SI,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO
Indra,México,NO,NO,NO,NO,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO
Istobal,México,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"JESÚS NAVARRO, S.A.",México,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Joquer,México,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
LLYC,México,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"LUZIFERLAMPS, S.L.",México,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"La Caixa",México,NO,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"La Chinata",México,SI,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"La Vanguardia",México,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
LaLiga,México,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"Retransmisiones TV"
Lladró,México,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO
"Lola Casademunt",México,SI,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
MONDRAGON,México,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"Planta productiva"
Mango,México,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Mapfre,México,SI,SI,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO
"Marqués de Caceres",México,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Mayoral,México,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO
"Meliá Hotels Internacional",México,NO,SI,NO,NO,SI,NO,NO,NO,NO,SI,NO,NO,NO,NO
"Miguel Bellido",México,NO,SI,SI,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO
"Miguel Torres",México,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Miquel y Costas & Miquel",México,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Mirto,México,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Mr. Wonderful",México,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Multiópticas,México,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO
"NH Hotel Group",México,NO,NO,NO,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO
"Natura Bissé Internacional",México,SI,SI,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO
Naturgy,México,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Neck & Neck",México,NO,SI,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,NO
OHL,México,NO,SI,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO
Osborne,México,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Paradores de Turismo de España",México,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO
"Pastas Gallo",México,SI,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Pescanova,México,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Piel de Toro",México,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Pikolinos Intercontinental",México,NO,NO,SI,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO
Porcelanosa,México,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO
"Postquam Cosmetic",México,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO
"Pronovias Fashion Group",México,NO,SI,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO
Prosegur,México,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO
Puig,México,NO,NO,NO,NO,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO
Ramondín,México,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO
"Real Madrid C.F.",México,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
